Rank,Country,GDP(PPP)
1,China,21270000000000.00
2,European Union,19180000000000.00
3,United States,18560000000000.00
4,India,8721000000000.00
5,Japan,4932000000000.00
6,Germany,3979000000000.00
7,Russia,3745000000000.00
8,Brazil,3135000000000.00
9,Indonesia,3028000000000.00
10,United Kingdom,2788000000000.00
11,France,2737000000000.00
12,Mexico,2307000000000.00
13,Italy,2221000000000.00
14,"Korea, South",1929000000000.00
15,Saudi Arabia,1731000000000.00
16,Spain,1690000000000.00
17,Canada,1674000000000.00
18,Turkey,1670000000000.00
19,Iran,1459000000000.00
20,Australia,1189000000000.00
21,Thailand,1161000000000.00
22,Taiwan,1125000000000.00
23,Egypt,1105000000000.00
24,Nigeria,1089000000000.00
25,Poland,1052000000000.00
26,Pakistan,988200000000.00
27,Argentina,879400000000.00
28,Netherlands,865900000000.00
29,Malaysia,863800000000.00
30,Philippines,801900000000.00
31,South Africa,736300000000.00
32,Colombia,690400000000.00
33,United Arab Emirates,667200000000.00
34,Bangladesh,628400000000.00
35,Algeria,609400000000.00
36,Iraq,596700000000.00
37,Vietnam,594900000000.00
38,Belgium,508600000000.00
39,Sweden,498100000000.00
40,Switzerland,494300000000.00
41,Singapore,486900000000.00
42,Venezuela,468600000000.00
43,Kazakhstan,460700000000.00
44,Romania,441000000000.00
45,Chile,436100000000.00
46,Hong Kong,427400000000.00
47,Austria,415900000000.00
48,Peru,409900000000.00
49,Norway,364700000000.00
50,Czechia,350900000000.00
51,Ukraine,349800000000.00
52,Qatar,334500000000.00
53,Ireland,324300000000.00
54,Burma,311100000000.00
55,Kuwait,301100000000.00
56,Portugal,297100000000.00
57,Israel,297000000000.00
58,Greece,290500000000.00
59,Morocco,282800000000.00
60,Hungary,267600000000.00
61,Denmark,264800000000.00
62,Sri Lanka,237800000000.00
63,Finland,230000000000.00
64,Uzbekistan,202300000000.00
65,Angola,187300000000.00
66,Ecuador,182400000000.00
67,Sudan,176300000000.00
68,New Zealand,174800000000.00
69,Ethiopia,174700000000.00
70,Oman,173100000000.00
71,Slovakia,169100000000.00
72,Azerbaijan,167900000000.00
73,Belarus,165400000000.00
74,Dominican Republic,160900000000.00
75,Kenya,152700000000.00
76,Tanzania,150600000000.00
77,Bulgaria,143100000000.00
78,Guatemala,132300000000.00
79,Puerto Rico,131000000000.00
80,Tunisia,130800000000.00
81,Cuba,128500000000.00
82,Ghana,120800000000.00
83,Serbia,101500000000.00
84,Turkmenistan,94770000000.00
85,Croatia,94240000000.00
86,Panama,93120000000.00
87,Libya,90890000000.00
88,Cote d'Ivoire,87120000000.00
89,Jordan,86190000000.00
90,Lithuania,85790000000.00
91,Lebanon,85160000000.00
92,Uganda,84930000000.00
93,Costa Rica,79260000000.00
94,Bolivia,78350000000.00
95,Cameroon,77240000000.00
96,Uruguay,73930000000.00
97,Yemen,73450000000.00
98,Nepal,71520000000.00
99,Bahrain,66370000000.00
100,Slovenia,66130000000.00
101,"Congo, Democratic Republic of the",66010000000.00
102,Zambia,65170000000.00
103,Paraguay,64120000000.00
104,Afghanistan,64080000000.00
105,Macau,63220000000.00
106,Cambodia,58940000000.00
107,Luxembourg,58740000000.00
108,Syria,55800000000.00
109,El Salvador,54790000000.00
110,Latvia,50870000000.00
111,Trinidad and Tobago,43570000000.00
112,Honduras,43190000000.00
113,Bosnia and Herzegovina,42530000000.00
114,Laos,40960000000.00
115,"Korea, North",40000000000.00
116,Senegal,39720000000.00
117,Estonia,38700000000.00
118,Mali,38090000000.00
119,Madagascar,37490000000.00
120,Georgia,37380000000.00
121,Mongolia,36650000000.00
122,Botswana,36510000000.00
123,Gabon,36220000000.00
124,Mozambique,35310000000.00
125,Albania,34210000000.00
126,Brunei,33730000000.00
127,Nicaragua,33490000000.00
128,Burkina Faso,32990000000.00
129,Equatorial Guinea,31770000000.00
130,Chad,30590000000.00
131,"Congo, Republic of the",30270000000.00
132,Macedonia,30130000000.00
133,Cyprus,29260000000.00
134,Zimbabwe,28330000000.00
135,Papua New Guinea,28020000000.00
136,Namibia,27040000000.00
137,Armenia,26560000000.00
138,Mauritius,25850000000.00
139,Tajikistan,25810000000.00
140,Jamaica,25390000000.00
141,Benin,24310000000.00
142,Rwanda,21970000000.00
143,Malawi,21230000000.00
144,West Bank,21220000000.00
145,Kyrgyzstan,21010000000.00
146,South Sudan,20880000000.00
147,Niger,20270000000.00
148,Haiti,19360000000.00
149,Moldova,18540000000.00
150,Kosovo,18490000000.00
151,Mauritania,16710000000.00
152,Malta,16320000000.00
153,Iceland,16150000000.00
154,Guinea,16080000000.00
155,Togo,11610000000.00
156,New Caledonia,11100000000.00
157,Swaziland,11060000000.00
158,Sierra Leone,10640000000.00
159,Montenegro,10610000000.00
160,Eritrea,9169000000.00
161,"Bahamas, The",9066000000.00
162,Suriname,8547000000.00
163,Fiji,8374000000.00
164,Burundi,7892000000.00
165,French Polynesia,7150000000.00
166,Monaco,6790000000.00
167,Bhutan,6432000000.00
168,Isle of Man,6298000000.00
169,Guyana,6093000000.00
170,Lesotho,6019000000.00
171,Jersey,5771000000.00
172,Maldives,5407000000.00
173,Bermuda,5198000000.00
174,Timor-Leste,4975000000.00
175,Guam,4882000000.00
176,Barbados,4804000000.00
177,Somalia,4431000000.00
178,Liberia,3881000000.00
179,Virgin Islands,3792000000.00
180,Cabo Verde,3583000000.00
181,Guernsey,3451000000.00
182,"Gambia, The",3387000000.00
183,Djibouti,3345000000.00
184,Central African Republic,3206000000.00
185,Liechtenstein,3200000000.00
