Rank,Country,Population
1,China,1373541278.00
2,India,1266883598.00
3,European Union,513949445.00
4,United States,323995528.00
5,Indonesia,258316051.00
6,Brazil,205823665.00
7,Pakistan,201995540.00
8,Nigeria,186053386.00
9,Bangladesh,156186882.00
10,Russia,142355415.00
11,Japan,126702133.00
12,Mexico,123166749.00
13,Philippines,102624209.00
14,Ethiopia,102374044.00
15,Vietnam,95261021.00
16,Egypt,94666993.00
17,Iran,82801633.00
18,"Congo, Democratic Republic of the",81331050.00
19,Germany,80722792.00
20,Turkey,80274604.00
21,Thailand,68200824.00
22,France,66836154.00
23,United Kingdom,64430428.00
24,Italy,62007540.00
25,Burma,56890418.00
26,South Africa,54300704.00
27,Tanzania,52482726.00
28,"Korea, South",50924172.00
29,Spain,48563476.00
30,Colombia,47220856.00
31,Kenya,46790758.00
32,Ukraine,44209733.00
33,Argentina,43886748.00
34,Algeria,40263711.00
35,Poland,38523261.00
36,Uganda,38319241.00
37,Iraq,38146025.00
38,Sudan,36729501.00
39,Canada,35362905.00
40,Morocco,33655786.00
41,Afghanistan,33332025.00
42,Malaysia,30949962.00
43,Venezuela,30912302.00
44,Peru,30741062.00
45,Uzbekistan,29473614.00
46,Nepal,29033914.00
47,Saudi Arabia,28160273.00
48,Yemen,27392779.00
49,Ghana,26908262.00
50,Mozambique,25930150.00
51,"Korea, North",25115311.00
52,Madagascar,24430325.00
53,Cameroon,24360803.00
54,Cote d'Ivoire,23740424.00
55,Taiwan,23464787.00
56,Australia,22992654.00
57,Sri Lanka,22235000.00
58,Romania,21599736.00
59,Angola,20172332.00
60,Burkina Faso,19512533.00
61,Niger,18638600.00
62,Malawi,18570321.00
63,Kazakhstan,18360353.00
64,Chile,17650114.00
65,Mali,17467108.00
66,Syria,17185170.00
67,Netherlands,17016967.00
68,Ecuador,16080778.00
69,Cambodia,15957223.00
70,Zambia,15510711.00
71,Guatemala,15189958.00
72,Zimbabwe,14546961.00
73,Senegal,14320055.00
74,Rwanda,12988423.00
75,South Sudan,12530717.00
76,Guinea,12093349.00
77,Chad,11852462.00
78,Belgium,11409077.00
79,Cuba,11179995.00
80,Tunisia,11134588.00
81,Burundi,11099298.00
82,Bolivia,10969649.00
83,Portugal,10833816.00
84,Somalia,10817354.00
85,Greece,10773253.00
86,Benin,10741458.00
87,Czechia,10644842.00
88,Dominican Republic,10606865.00
89,Haiti,10485800.00
90,Sweden,9880604.00
91,Hungary,9874784.00
92,Azerbaijan,9872765.00
93,Belarus,9570376.00
94,Honduras,8893259.00
95,Austria,8711770.00
96,Tajikistan,8330946.00
