Rank,Country,Railways (KM)
1,United States,293564.00
2,China,191270.00
3,Russia,87157.00
4,Canada,77932.00
5,India,68525.00
6,Germany,43468.00
7,Australia,36968.00
8,Argentina,36917.00
9,France,29640.00
10,Brazil,28538.00
11,Japan,27311.00
12,Ukraine,21733.00
13,South Africa,20986.00
14,Italy,20182.00
15,Poland,19837.00
16,United Kingdom,16837.00
17,Spain,16102.00
18,Mexico,15389.00
19,Kazakhstan,14184.00
20,Turkey,12008.00
21,Sweden,11915.00
22,Pakistan,11881.00
23,Romania,11268.00
24,Czechia,9622.00
25,Iran,8484.00
26,Cuba,8285.00
27,Indonesia,8159.00
28,Hungary,8049.00
29,"Korea, North",7435.00
30,Chile,7282.00
31,Sudan,7251.00
32,Finland,5919.00
33,Switzerland,5652.00
34,Belarus,5528.00
35,Austria,5268.00
36,Bulgaria,5114.00
37,Egypt,5085.00
38,Burma,5031.00
39,Mozambique,4787.00
40,Tanzania,4567.00
41,Norway,4250.00
42,New Zealand,4128.00
43,Thailand,4071.00
44,"Congo, Democratic Republic of the",4007.00
45,Algeria,3973.00
46,Serbia,3808.00
47,Nigeria,3798.00
48,Uzbekistan,3645.00
49,Slovakia,3624.00
50,Belgium,3592.00
51,Bolivia,3504.00
52,"Korea, South",3460.00
53,Zimbabwe,3427.00
54,Kenya,3334.00
55,Ireland,3237.00
56,Netherlands,3223.00
57,Zambia,3126.00
58,Portugal,3075.00
59,Turkmenistan,2980.00
60,Angola,2852.00
61,Croatia,2722.00
62,Denmark,2633.00
63,Namibia,2628.00
64,Vietnam,2600.00
65,Greece,2548.00
66,Bangladesh,2460.00
67,Iraq,2272.00
68,Latvia,2239.00
69,Tunisia,2173.00
70,Colombia,2141.00
71,Azerbaijan,2068.00
72,Morocco,2067.00
73,Syria,2052.00
74,Peru,1854.00
75,Malaysia,1849.00
76,Mongolia,1815.00
77,Lithuania,1768.00
78,Uruguay,1641.00
79,Taiwan,1597.00
80,Sri Lanka,1447.00
81,Saudi Arabia,1378.00
82,Georgia,1363.00
83,Israel,1250.00
84,Uganda,1244.00
85,Slovenia,1229.00
86,Estonia,1196.00
87,Moldova,1171.00
88,Philippines,995.00
89,Cameroon,987.00
90,Ecuador,965.00
91,Bosnia and Herzegovina,965.00
92,Ghana,947.00
93,Senegal,906.00
94,Botswana,888.00
95,Madagascar,836.00
96,Guatemala,800.00
97,Armenia,780.00
98,Malawi,767.00
99,Mauritania,728.00
100,Macedonia,699.00
101,Honduras,699.00
102,Ethiopia,681.00
103,Tajikistan,680.00
104,Albania,677.00
105,Guinea,662.00
106,Cote d'Ivoire,660.00
107,Gabon,649.00
108,Cambodia,642.00
109,Burkina Faso,622.00
110,Fiji,597.00
111,Mali,593.00
112,Togo,568.00
113,"Congo, Republic of the",510.00
114,Jordan,507.00
115,Dominican Republic,496.00
116,Kyrgyzstan,470.00
117,Venezuela,447.00
118,Benin,438.00
119,Liberia,429.00
120,Lebanon,401.00
121,Kosovo,333.00
122,Eritrea,306.00
123,Swaziland,301.00
124,Costa Rica,278.00
125,Luxembourg,275.00
126,Montenegro,250.00
127,South Sudan,248.00
128,Djibouti,100.00
129,Panama,77.00
130,Isle of Man,63.00
131,Nepal,53.00
132,Saint Kitts and Nevis,50.00
133,Paraguay,30.00
134,Christmas Island,18.00
135,El Salvador,13.00
136,Liechtenstein,9.00
